architecture,width,mod,n_max,value_bytes,main_sha256,iverilog,yosys,yosys_options,wires,wire_bits,cells,CARRY4,FDCE,FDPE,INV,LUT2,LUT3,LUT4,LUT5,LUT6,MUXF7,MUXF8,ff_total,lut_total,lut_mux_total,lut_only_rough_lower_bound,raw_ff_lower_bound,screening
compact_v3,8,251,250,1,e910abcf293fc37fbb071eef5cfad4eb91b0047263b512707278360032716fc6,Icarus Verilog version 12.0 (devel) (s20150603-1539-g2693dd32b),"Yosys 0.59+0 (git sha1 946048486, x86_64-w64-mingw32-g++ 15.2.0 -O3)",flatten=true noDSP=true ABC9=true autoname=true,761,1830,772,31,157,6,21,111,98,101,171,76,0,0,163,557,557,140,21,PNR候補
compact_v3,9,509,508,2,e910abcf293fc37fbb071eef5cfad4eb91b0047263b512707278360032716fc6,Icarus Verilog version 12.0 (devel) (s20150603-1539-g2693dd32b),"Yosys 0.59+0 (git sha1 946048486, x86_64-w64-mingw32-g++ 15.2.0 -O3)",flatten=true noDSP=true ABC9=true autoname=true,937,2235,911,41,178,6,23,159,93,133,189,89,0,0,184,663,663,166,23,PNR価値低
